r,st,transreg,transgrp,nercr,interconnect
WA_W,WA,NorthernGrid,NorthernGrid_West,WECC_NW,western
WA_E,WA,NorthernGrid,NorthernGrid_West,WECC_NW,western
OR_W,OR,NorthernGrid,NorthernGrid_West,WECC_NW,western
OR_E,OR,NorthernGrid,NorthernGrid_West,WECC_NW,western
CA_N,CA,CAISO,CAISO,WECC_CA,western
CA_S,CA,CAISO,CAISO,WECC_CA,western
CA_LA,CA,CAISO,CAISO,WECC_CA,western
CA_SE,CA,CAISO,CAISO,WECC_CA,western
ID_N,ID,NorthernGrid,NorthernGrid_East,WECC_NW,western
ID_S,ID,NorthernGrid,NorthernGrid_East,WECC_NW,western
MT_W,MT,NorthernGrid,NorthernGrid_East,WECC_NW,western
MT_C,MT,NorthernGrid,NorthernGrid_East,WECC_NW,western
MT_E,MT,SPP,SPP_North,SPP,eastern
NV_N,NV,NorthernGrid,NorthernGrid_South,WECC_NW,western
NV_LV,NV,NorthernGrid,NorthernGrid_South,WECC_NW,western
UT,UT,NorthernGrid,NorthernGrid_South,WECC_NW,western
WY_W,WY,NorthernGrid,NorthernGrid_East,WECC_NW,western
WY_E,WY,WestConnect,WestConnect_North,WECC_NW,western
CO_W,CO,WestConnect,WestConnect_North,WECC_NW,western
CO_E,CO,WestConnect,WestConnect_North,WECC_NW,western
AZ_N,AZ,WestConnect,WestConnect_South,WECC_SW,western
AZ_S,AZ,WestConnect,WestConnect_South,WECC_SW,western
NM_W,NM,WestConnect,WestConnect_South,WECC_SW,western
NM_E,NM,SPP,SPP_South,SPP,eastern
TX_EP,TX,WestConnect,WestConnect_South,WestConnect,western
TX_N,TX,ERCOT,ERCOT,ERCOT,texas
TX_W,TX,ERCOT,ERCOT,ERCOT,texas
TX_S,TX,ERCOT,ERCOT,ERCOT,texas
TX_PAN,TX,SPP,SPP_South,SPP,eastern
TX_SPP,TX,SPP,SPP_South,SPP,eastern
TX_HOU,TX,ERCOT,ERCOT,ERCOT,texas
TX_MISO,TX,MISO,MISO_South,MISO,eastern
ND_SPP,ND,SPP,SPP_North,SPP,eastern
ND_MISO,ND,MISO,MISO_North,MISO,eastern
SD,SD,SPP,SPP_North,SPP,eastern
NE,NE,SPP,SPP_North,SPP,eastern
KS,KS,SPP,SPP_South,SPP,eastern
OK,OK,SPP,SPP_South,SPP,eastern
MN_N,MN,MISO,MISO_North,MISO,eastern
MN_S,MN,MISO,MISO_North,MISO,eastern
WI_W,WI,MISO,MISO_North,MISO,eastern
WI_E,WI,MISO,MISO_North,MISO,eastern
IA,IA,MISO,MISO_Central,MISO,eastern
MO_SPP,MO,SPP,SPP_South,SPP,eastern
MO_MISO,MO,MISO,MISO_Central,MISO,eastern
MO_SE,MO,SERTP,SERTP,SERC_C,eastern
AR_SPP,AR,SPP,SPP_South,SPP,eastern
AR_MISO,AR,MISO,MISO_South,MISO,eastern
LA,LA,MISO,MISO_South,MISO,eastern
MI_UP,MI,MISO,MISO_North,MISO,eastern
MI_LP,MI,MISO,MISO_North,MISO,eastern
MI_PJM,MI,PJM,PJM_West,PJM,eastern
IL_PJM,IL,PJM,PJM_West,PJM,eastern
IL_MISO,IL,MISO,MISO_Central,MISO,eastern
IN_PJM,IN,PJM,PJM_West,PJM,eastern
IN_MISO,IN,MISO,MISO_Central,MISO,eastern
KY_PJM,KY,PJM,PJM_East,PJM,eastern
KY_MISO,KY,MISO,MISO_Central,MISO,eastern
MS_MISO,MS,MISO,MISO_South,MISO,eastern
MS_SE,MS,SERTP,SERTP,SERC_C,eastern
TN,TN,SERTP,SERTP,SERC_C,eastern
AL,AL,SERTP,SERTP,SERC_SE,eastern
GA_N,GA,SERTP,SERTP,SERC_SE,eastern
GA_S,GA,SERTP,SERTP,SERC_SE,eastern
SC,SC,SERTP,SERTP,SERC_E,eastern
NC_SE,NC,SERTP,SERTP,SERC_E,eastern
NC_PJM,NC,PJM,PJM_East,SERC_E,eastern
FL_N,FL,FRCC,FRCC,SERC_F,eastern
FL_S,FL,FRCC,FRCC,SERC_F,eastern
FL_SE,FL,FRCC,FRCC,SERC_F,eastern
OH_N,OH,PJM,PJM_East,PJM,eastern
OH_S,OH,PJM,PJM_East,PJM,eastern
WV,WV,PJM,PJM_East,PJM,eastern
VA_W,VA,PJM,PJM_East,PJM,eastern
VA_E,VA,PJM,PJM_East,PJM,eastern
PA_W,PA,PJM,PJM_East,PJM,eastern
PA_E,PA,PJM,PJM_East,PJM,eastern
MD,MD,PJM,PJM_East,PJM,eastern
DE,DE,PJM,PJM_East,PJM,eastern
NJ,NJ,PJM,PJM_East,PJM,eastern
NY_W,NY,NYISO,NYISO,NPCC_NY,eastern
NY_E,NY,NYISO,NYISO,NPCC_NY,eastern
NY_NYC,NY,NYISO,NYISO,NPCC_NY,eastern
NY_LI,NY,NYISO,NYISO,NPCC_NY,eastern
VT,VT,ISONE,ISONE,NPCC_NE,eastern
NH,NH,ISONE,ISONE,NPCC_NE,eastern
MA,MA,ISONE,ISONE,NPCC_NE,eastern
CT,CT,ISONE,ISONE,NPCC_NE,eastern
RI,RI,ISONE,ISONE,NPCC_NE,eastern
ME,ME,ISONE,ISONE,NPCC_NE,eastern
