Year,Utility Name,State,Trn Total Operation Expenses $,Trn Total Maintenance Expenses $,Dis Total Maintenance Expenses $,Dis Total Operation Expenses $,Total Sales Expenses $,Total Customer Srv & Information Expenses $,CAE Total Customer Accounts Expenses $,Total Admin & General Expenses $,Total Regional Trans & Mark Operation Exps  $,A&G Total Operation Expenses $,A&G Oper Injuries & Damages $
2016,4C Acquisition LLC,AZ,6395,20010,0,0,-4,0,0,969537,0,969537,43631
2003,Access Energy Coop,IA,0,0,0,1818250,72716,202702,461496,1027690,0,1027690,0
2002,Access Energy Coop,IA,0,0,0,2205987,61038,157468,429795,1004481,0,1004481,0
2019,AEP Appalachian Transmission Co Inc,OH,531937,59139,0,0,0,0,0,322741,0,322722,3684
2018,AEP Appalachian Transmission Co Inc,OH,197027,26431,0,0,0,0,0,502888,0,502886,1239
2017,AEP Appalachian Transmission Co Inc,OH,27261,1773,0,0,0,0,0,154299,0,154291,50
2016,AEP Appalachian Transmission Co Inc,OH,156,0,0,0,0,0,0,131179,0,131179,9
2015,AEP Appalachian Transmission Co Inc,OH,228,-81,0,0,0,0,0,103531,0,103531,6
2014,AEP Appalachian Transmission Co Inc,OH,10634,774,0,0,0,0,0,207148,0,193721,783
2013,AEP Appalachian Transmission Co Inc,OH,32510,362,0,0,0,0,0,146499,0,146499,17
2012,AEP Appalachian Transmission Co Inc,OH,28761,0,0,0,0,0,0,189752,0,189752,0
2011,AEP Appalachian Transmission Co Inc,OH,33288,0,0,0,0,0,0,226049,0,226049,0
2010,AEP Appalachian Transmission Co Inc,OH,13343,0,0,0,0,0,0,113715,0,113715,0
2019,AEP Generating Co,OH,0,0,0,0,0,0,0,3319194,0,2898384,140446
2018,AEP Generating Co,OH,0,0,0,0,0,0,0,3526417,0,3107491,20253
2017,AEP Generating Co,OH,0,0,0,0,0,0,0,4815103,0,4348248,21124
2016,AEP Generating Co,OH,0,0,0,0,0,0,0,7547786,0,6955101,210449
2015,AEP Generating Co,OH,0,0,0,0,0,0,0,8562812,0,8184723,249416
2014,AEP Generating Co,OH,0,0,0,0,0,0,0,6076188,0,5676761,97769
2013,AEP Generating Co,OH,0,0,0,0,0,0,0,5909422,0,5705591,41081
2012,AEP Generating Co,OH,0,0,0,0,0,838,0,6207027,0,6158489,48993
2011,AEP Generating Co,OH,0,0,0,0,0,0,0,6908296,0,6807207,63467
2010,AEP Generating Co,OH,0,0,0,0,0,0,0,7385663,0,7282207,100838
2009,AEP Generating Co,OH,0,0,0,0,0,0,0,6640130,0,6533255,85013
2008,AEP Generating Co,OH,0,0,0,0,0,0,0,6540306,0,6426549,129123
2007,AEP Generating Co,OH,0,0,0,0,0,0,0,5965638,0,5816388,85365
2006,AEP Generating Co,OH,0,0,0,0,0,0,0,5425044,0,5288831,78893
2005,AEP Generating Co,OH,0,0,0,0,0,0,0,4562941,0,4424810,110355
2004,AEP Generating Co,OH,0,0,0,0,0,0,0,5373687,0,5225332,223076
2003,AEP Generating Co,OH,0,0,0,0,0,0,0,5270868,0,4954653,180674
2002,AEP Generating Co,OH,0,0,0,0,0,0,0,6459793,0,6214208,135368
2001,AEP Generating Co,OH,0,0,0,0,0,0,0,4744109,0,4722172,95047
2000,AEP Generating Co,OH,0,0,0,0,0,0,0,5412850,0,5407590,41786
1999,AEP Generating Co,OH,5710,1198,972,3612,0,11906,0,4789938,0,4790139,22660
1998,AEP Generating Co,OH,0,0,0,0,0,0,0,3709669,0,3694371,100624
1997,AEP Generating Co,OH,0,0,0,0,0,0,0,4608846,0,4588465,90135
1996,AEP Generating Co,OH,0,0,0,0,0,0,0,6216047,0,5958422,213334
1995,AEP Generating Co,OH,0,0,0,0,0,0,0,6694173,0,6525500,222517
1994,AEP Generating Co,OH,0,0,0,0,0,0,0,4871684,0,4723280,158115
2014,AEP Generation Resources Inc,OH,16770491,0,0,0,0,0,0,43192807,1452245,41138253,3169287
2019,AEP Indiana Michigan Transmission Co Inc,OH,15804337,4077708,0,0,0,0,0,5911266,0,5865398,147285
2018,AEP Indiana Michigan Transmission Co Inc,OH,13726625,2824136,0,0,0,0,0,7194485,0,7088106,116430
2017,AEP Indiana Michigan Transmission Co Inc,OH,8859379,1927114,0,0,0,0,0,4633831,0,4632447,93010
2016,AEP Indiana Michigan Transmission Co Inc,OH,3079341,2011485,0,0,0,0,0,3445881,0,3445881,46906
2015,AEP Indiana Michigan Transmission Co Inc,OH,2135538,1562295,0,0,0,0,0,2107363,0,2107363,37757
2014,AEP Indiana Michigan Transmission Co Inc,OH,803235,83912,0,0,0,0,0,1431285,0,1417153,18412
2013,AEP Indiana Michigan Transmission Co Inc,OH,472289,31346,0,0,0,0,0,479727,0,479727,6537
2012,AEP Indiana Michigan Transmission Co Inc,OH,106542,17189,0,0,0,0,0,552645,0,552645,0
2011,AEP Indiana Michigan Transmission Co Inc,OH,70021,0,0,0,0,0,0,332712,0,332712,0
2010,AEP Indiana Michigan Transmission Co Inc,OH,18822,0,0,0,0,0,0,202814,0,202814,0
2019,AEP Kentucky Transmission Co Inc,OH,1290758,119355,0,0,0,0,0,455158,0,455136,8242
2018,AEP Kentucky Transmission Co Inc,OH,1005764,98569,0,0,0,0,0,614746,0,614743,6224
2017,AEP Kentucky Transmission Co Inc,OH,789213,68480,0,0,0,0,0,427608,0,427530,6900
2016,AEP Kentucky Transmission Co Inc,OH,266670,62225,0,0,0,0,0,388567,0,388548,4720
2015,AEP Kentucky Transmission Co Inc,OH,81735,30580,0,0,0,0,0,280758,0,280758,1436
2014,AEP Kentucky Transmission Co Inc,OH,14395,830,0,0,0,0,0,169555,0,156211,637
2013,AEP Kentucky Transmission Co Inc,OH,18193,25,0,0,0,0,0,95682,0,95682,8
2012,AEP Kentucky Transmission Co Inc,OH,34899,0,0,0,0,0,0,98919,0,98919,0
2011,AEP Kentucky Transmission Co Inc,OH,64311,0,0,0,0,0,0,197215,0,197215,0
2010,AEP Kentucky Transmission Co Inc,OH,12345,0,0,0,0,0,0,98204,0,98204,0
2019,AEP Ohio Transmission Co Inc,OH,24050381,5821911,0,0,0,0,0,10537706,0,9865651,230574
2018,AEP Ohio Transmission Co Inc,OH,21471245,3412284,0,0,0,0,0,12591615,0,12188773,202582
2017,AEP Ohio Transmission Co Inc,OH,17569387,3236147,0,0,0,0,0,8066620,0,7827428,174452
2016,AEP Ohio Transmission Co Inc,OH,7617278,2464194,0,0,0,0,0,6928394,0,6816657,108074
2015,AEP Ohio Transmission Co Inc,OH,5910657,2083348,0,0,0,0,0,4969864,0,4969864,108721
2014,AEP Ohio Transmission Co Inc,OH,2150369,347198,0,0,0,0,0,3950895,0,3935455,61687
2013,AEP Ohio Transmission Co Inc,OH,1410000,68754,0,0,0,0,0,1558862,0,1558862,32295
2012,AEP Ohio Transmission Co Inc,OH,561988,24788,0,0,0,0,0,1722490,0,1722490,12122
2011,AEP Ohio Transmission Co Inc,OH,280060,6243,0,0,0,0,0,983542,0,983542,0
2010,AEP Ohio Transmission Co Inc,OH,15958,0,0,0,0,0,0,181556,0,181556,0
2019,AEP Oklahoma Transmission Co Inc,OH,8900831,2113383,0,0,0,0,0,3460885,0,3319018,79109
2018,AEP Oklahoma Transmission Co Inc,OH,7997145,2004146,0,0,0,0,0,4371946,0,4057421,69241
2017,AEP Oklahoma Transmission Co Inc,OH,7035368,1895891,0,0,0,0,0,2634355,0,2575034,66328
2016,AEP Oklahoma Transmission Co Inc,OH,2280293,1245879,0,0,0,0,0,2261480,0,2218504,36922
2015,AEP Oklahoma Transmission Co Inc,OH,1671379,897473,0,0,0,0,0,1596498,0,1596498,39746
2014,AEP Oklahoma Transmission Co Inc,OH,685834,78970,0,0,0,0,0,1450737,0,1436697,25546
2013,AEP Oklahoma Transmission Co Inc,OH,443338,77528,0,0,0,0,0,734270,0,734270,10516
2012,AEP Oklahoma Transmission Co Inc,OH,255340,14627,0,0,0,0,0,722193,0,722193,0
2011,AEP Oklahoma Transmission Co Inc,OH,97034,0,0,0,0,0,0,351371,0,351371,0
2010,AEP Oklahoma Transmission Co Inc,OH,26925,0,0,0,0,0,0,149744,0,149744,0
2019,AEP Southwestern Transmission Co Inc,OH,1564,342,0,0,0,0,0,95277,0,95277,6
2018,AEP Southwestern Transmission Co Inc,OH,709,125,0,0,0,0,0,103468,0,103468,7
2017,AEP Southwestern Transmission Co Inc,OH,9032,243,0,0,0,0,0,75933,0,75933,16
2016,AEP Southwestern Transmission Co Inc,OH,6268,2,0,0,0,0,0,138040,0,138040,9
2015,AEP Southwestern Transmission Co Inc,OH,6824,0,0,0,0,0,0,131671,0,131671,9
2014,AEP Southwestern Transmission Co Inc,OH,24087,19,0,0,0,0,0,170218,0,156864,15
2013,AEP Southwestern Transmission Co Inc,OH,86800,2,0,0,0,0,0,289933,0,289933,16
2012,AEP Southwestern Transmission Co Inc,OH,150713,0,0,0,0,0,0,462999,0,462999,0
2011,AEP Southwestern Transmission Co Inc,OH,54344,0,0,0,0,0,0,234028,0,234028,0
2010,AEP Southwestern Transmission Co Inc,OH,8890,0,0,0,0,0,0,134462,0,134462,0
2016,AEP Texas Central Co,TX,248525127,10026286,27366445,41308903,189281,15644883,7701046,47241815,0,36012396,3480494
2015,AEP Texas Central Co,TX,231760087,10849332,30798141,46524315,224865,16601635,10080961,52016540,0,38234327,4083371
2014,AEP Texas Central Co,TX,209422835,9672586,27377253,41856403,260625,15025761,9440458,47219790,0,37146550,4049682
2013,AEP Texas Central Co,TX,151361878,7780836,23765438,38305763,139325,15471452,11716945,43644396,0,35506609,3196100
2012,AEP Texas Central Co,TX,137111349,6772248,22437396,34616745,9023,14751902,15921205,41160816,0,33756829,3261069
2011,AEP Texas Central Co,TX,121356894,9013351,23180270,38121239,7898,17032595,17731384,50591543,0,42193122,5365971
2010,AEP Texas Central Co,TX,118728277,7655465,19854657,60382932,13929,20230989,18747293,58195849,0,50416428,4163367
2009,AEP Texas Central Co,TX,108416391,8282097,21142507,29838182,26224,18709830,19268688,63819202,0,56715666,3214534
2008,AEP Texas Central Co,TX,99663542,7726635,24205544,33075277,17034,10366394,20890870,74739519,0,68428528,3587811
