Year,Utility Name,State,Total Retail Sales MWh,Total Electricity Customers
2016,4C Acquisition LLC,AZ,0,0
2003,Access Energy Coop,IA,207186,8552
2002,Access Energy Coop,IA,203445,8468
2019,AEP Appalachian Transmission Co Inc,OH,0,0
2018,AEP Appalachian Transmission Co Inc,OH,0,0
2017,AEP Appalachian Transmission Co Inc,OH,0,0
2016,AEP Appalachian Transmission Co Inc,OH,0,0
2015,AEP Appalachian Transmission Co Inc,OH,0,0
2014,AEP Appalachian Transmission Co Inc,OH,0,0
2013,AEP Appalachian Transmission Co Inc,OH,0,0
2012,AEP Appalachian Transmission Co Inc,OH,0,0
2011,AEP Appalachian Transmission Co Inc,OH,0,0
2010,AEP Appalachian Transmission Co Inc,OH,0,0
2019,AEP Generating Co,OH,0,0
2018,AEP Generating Co,OH,0,2
2017,AEP Generating Co,OH,0,2
2016,AEP Generating Co,OH,0,3
2015,AEP Generating Co,OH,0,3
2014,AEP Generating Co,OH,0,0
2013,AEP Generating Co,OH,0,3
2012,AEP Generating Co,OH,0,3
2011,AEP Generating Co,OH,0,3
2010,AEP Generating Co,OH,0,3
2009,AEP Generating Co,OH,0,3
2008,AEP Generating Co,OH,0,3
2007,AEP Generating Co,OH,0,3
2006,AEP Generating Co,OH,0,2
2005,AEP Generating Co,OH,0,0
2004,AEP Generating Co,OH,0,0
2003,AEP Generating Co,OH,0,0
2002,AEP Generating Co,OH,0,0
2001,AEP Generating Co,OH,0,0
2000,AEP Generating Co,OH,0,0
1999,AEP Generating Co,OH,0,0
1998,AEP Generating Co,OH,0,0
1997,AEP Generating Co,OH,0,0
1996,AEP Generating Co,OH,0,3
1995,AEP Generating Co,OH,0,3
1994,AEP Generating Co,OH,0,3
2014,AEP Generation Resources Inc,OH,0,57
2019,AEP Indiana Michigan Transmission Co Inc,OH,0,0
2018,AEP Indiana Michigan Transmission Co Inc,OH,0,0
2017,AEP Indiana Michigan Transmission Co Inc,OH,0,0
2016,AEP Indiana Michigan Transmission Co Inc,OH,0,0
2015,AEP Indiana Michigan Transmission Co Inc,OH,0,0
2014,AEP Indiana Michigan Transmission Co Inc,OH,0,0
2013,AEP Indiana Michigan Transmission Co Inc,OH,0,0
2012,AEP Indiana Michigan Transmission Co Inc,OH,0,0
2011,AEP Indiana Michigan Transmission Co Inc,OH,0,0
2010,AEP Indiana Michigan Transmission Co Inc,OH,0,0
2019,AEP Kentucky Transmission Co Inc,OH,0,0
2018,AEP Kentucky Transmission Co Inc,OH,0,0
2017,AEP Kentucky Transmission Co Inc,OH,0,0
2016,AEP Kentucky Transmission Co Inc,OH,0,0
2015,AEP Kentucky Transmission Co Inc,OH,0,0
2014,AEP Kentucky Transmission Co Inc,OH,0,0
2013,AEP Kentucky Transmission Co Inc,OH,0,0
2012,AEP Kentucky Transmission Co Inc,OH,0,0
2011,AEP Kentucky Transmission Co Inc,OH,0,0
2010,AEP Kentucky Transmission Co Inc,OH,0,0
2019,AEP Ohio Transmission Co Inc,OH,0,0
2018,AEP Ohio Transmission Co Inc,OH,0,0
2017,AEP Ohio Transmission Co Inc,OH,0,0
