Year,Utility Name,State,Trn - Total Transmission Plant,Dis - Total Distribution Plant,Gen - Total General Plant
2016,4C Acquisition LLC,AZ,152599,0,-88506
2003,Access Energy Coop,IA,0,2762831,191095
2019,AEP Appalachian Transmission Co Inc,OH,84874008,0,0
2018,AEP Appalachian Transmission Co Inc,OH,856380,0,0
2019,AEP Generating Co,OH,0,0,6220
2018,AEP Generating Co,OH,0,0,7015
2017,AEP Generating Co,OH,0,0,4053
2016,AEP Generating Co,OH,0,0,51215
2015,AEP Generating Co,OH,0,0,8280
2014,AEP Generating Co,OH,0,0,35715
2013,AEP Generating Co,OH,0,0,2553
2012,AEP Generating Co,OH,0,0,6351
2011,AEP Generating Co,OH,0,0,59704
2010,AEP Generating Co,OH,420,0,129906
2009,AEP Generating Co,OH,1937818,0,41304
2008,AEP Generating Co,OH,0,0,39047
2007,AEP Generating Co,OH,0,0,65981
2006,AEP Generating Co,OH,0,0,46952
2005,AEP Generating Co,OH,0,0,148680
2004,AEP Generating Co,OH,0,0,0
2003,AEP Generating Co,OH,0,0,41980
2002,AEP Generating Co,OH,0,0,0
2001,AEP Generating Co,OH,0,0,0
2000,AEP Generating Co,OH,0,0,0
1999,AEP Generating Co,OH,0,0,0
1998,AEP Generating Co,OH,0,0,16895
1997,AEP Generating Co,OH,0,0,1818
1996,AEP Generating Co,OH,0,0,3375
1995,AEP Generating Co,OH,0,0,2841
1994,AEP Generating Co,OH,0,0,208574
2014,AEP Generation Resources Inc,OH,0,0,68963
2019,AEP Indiana Michigan Transmission Co Inc,OH,465264280,0,1077162
2018,AEP Indiana Michigan Transmission Co Inc,OH,411583293,0,6660193
2017,AEP Indiana Michigan Transmission Co Inc,OH,520911672,0,11968011
2016,AEP Indiana Michigan Transmission Co Inc,OH,464307458,0,0
2015,AEP Indiana Michigan Transmission Co Inc,OH,168092356,0,0
2014,AEP Indiana Michigan Transmission Co Inc,OH,57886918,0,0
2013,AEP Indiana Michigan Transmission Co Inc,OH,175754355,0,0
2012,AEP Indiana Michigan Transmission Co Inc,OH,24825479,0,209505
2011,AEP Indiana Michigan Transmission Co Inc,OH,-1053064,0,0
2010,AEP Indiana Michigan Transmission Co Inc,OH,4504519,0,0
2019,AEP Kentucky Transmission Co Inc,OH,13202579,0,1423
2018,AEP Kentucky Transmission Co Inc,OH,30523799,0,34942
2017,AEP Kentucky Transmission Co Inc,OH,13131676,0,0
2016,AEP Kentucky Transmission Co Inc,OH,42056735,0,0
2015,AEP Kentucky Transmission Co Inc,OH,25042009,0,0
2019,AEP Ohio Transmission Co Inc,OH,676108659,0,68114192
2018,AEP Ohio Transmission Co Inc,OH,508378420,0,15614549
2017,AEP Ohio Transmission Co Inc,OH,411048896,0,322759
2016,AEP Ohio Transmission Co Inc,OH,251172064,0,56509428
2015,AEP Ohio Transmission Co Inc,OH,480678757,0,0
2014,AEP Ohio Transmission Co Inc,OH,532627091,0,0
2013,AEP Ohio Transmission Co Inc,OH,277650536,0,162233
2012,AEP Ohio Transmission Co Inc,OH,196654393,0,0
2011,AEP Ohio Transmission Co Inc,OH,70052470,0,0
2010,AEP Ohio Transmission Co Inc,OH,3163661,0,0
2019,AEP Oklahoma Transmission Co Inc,OH,98010615,0,58687
2018,AEP Oklahoma Transmission Co Inc,OH,109680881,0,728292
2017,AEP Oklahoma Transmission Co Inc,OH,216410064,0,251627
2016,AEP Oklahoma Transmission Co Inc,OH,192390621,0,16874250
2015,AEP Oklahoma Transmission Co Inc,OH,97076272,0,0
2014,AEP Oklahoma Transmission Co Inc,OH,108960397,0,0
2013,AEP Oklahoma Transmission Co Inc,OH,157772097,0,0
2012,AEP Oklahoma Transmission Co Inc,OH,62303943,0,0
2011,AEP Oklahoma Transmission Co Inc,OH,13399503,0,0
2010,AEP Oklahoma Transmission Co Inc,OH,1611355,0,0
2011,AEP Southwestern Transmission Co Inc,OH,0,0,0
2010,AEP Southwestern Transmission Co Inc,OH,0,0,0
2016,AEP Texas Central Co,TX,207620399,182423907,12750726
2015,AEP Texas Central Co,TX,229635455,172350373,15600548
2014,AEP Texas Central Co,TX,226752567,174479007,6615005
2013,AEP Texas Central Co,TX,115815240,196023787,15987712
2012,AEP Texas Central Co,TX,62888617,148950498,9986051
2011,AEP Texas Central Co,TX,75294388,126068718,11988376
2010,AEP Texas Central Co,TX,8620089,112294335,6417697
2009,AEP Texas Central Co,TX,12776358,86907218,9469784
2008,AEP Texas Central Co,TX,133955608,133016352,8940219
2007,AEP Texas Central Co,TX,66221108,109971729,10090394
2006,AEP Texas Central Co,TX,96819462,137995143,2343404
2005,AEP Texas Central Co,TX,23751005,81107639,1285689
2004,AEP Texas Central Co,TX,23371030,77560435,8376748
2003,AEP Texas Central Co,TX,83321495,108476966,13846586
2002,AEP Texas Central Co,TX,36099283,36448077,5229336
2001,AEP Texas Central Co,TX,83704628,68235521,6750153
2000,AEP Texas Central Co,TX,17036020,74694897,5419470
1999,AEP Texas Central Co,TX,42381632,91382100,16803780
1998,AEP Texas Central Co,TX,9561714,75272700,5352410
1997,AEP Texas Central Co,TX,14370295,73443901,15488298
1996,AEP Texas Central Co,TX,19384201,77512828,24806056
1995,AEP Texas Central Co,TX,35209386,57463924,21843726
1994,AEP Texas Central Co,TX,102442772,75019158,17467014
2019,AEP Texas Inc,OK,835124603,389836146,68306222
2018,AEP Texas Inc,OK,658152037,402933934,253347859
2017,AEP Texas Inc,OK,447585071,249462674,10712007
2016,AEP Texas North Co,TX,77705889,52970583,8156919
2015,AEP Texas North Co,TX,58835741,59762237,6771760
2014,AEP Texas North Co,TX,40616177,56654346,872555
2013,AEP Texas North Co,TX,32877940,43936803,8639261
2012,AEP Texas North Co,TX,22244772,42536690,5451280
2011,AEP Texas North Co,TX,41048045,41466007,5229828
2010,AEP Texas North Co,TX,1843817,33991292,1500331
2009,AEP Texas North Co,TX,74738719,25122032,1988210
2008,AEP Texas North Co,TX,71960991,33873487,4181454
2007,AEP Texas North Co,TX,33570886,24942014,1911192
2006,AEP Texas North Co,TX,44312909,25291435,2191697
2005,AEP Texas North Co,TX,14687919,22574228,1045549
2004,AEP Texas North Co,TX,13559692,22820400,1813105
2003,AEP Texas North Co,TX,13989762,22127621,4436491
2002,AEP Texas North Co,TX,5524885,15283946,1107111
2001,AEP Texas North Co,TX,14943354,18803844,4242032
2000,AEP Texas North Co,TX,15359273,16675928,3925957
1999,AEP Texas North Co,TX,7358846,25914162,8782214
1998,AEP Texas North Co,TX,4770320,19222530,3831435
1997,AEP Texas North Co,TX,8621787,18576554,10942843
1996,AEP Texas North Co,TX,2229766,23612664,9964434
1995,AEP Texas North Co,TX,4806406,20983421,8087229
1994,AEP Texas North Co,TX,4342937,20244780,5241501
2019,AEP West Virginia Transmission Co Inc,OH,289024069,0,13751
2018,AEP West Virginia Transmission Co Inc,OH,136566420,0,150035
2017,AEP West Virginia Transmission Co Inc,OH,204577108,0,21907
2016,AEP West Virginia Transmission Co Inc,OH,224449895,0,0
2015,AEP West Virginia Transmission Co Inc,OH,216124987,0,0
2014,AEP West Virginia Transmission Co Inc,OH,124695942,0,0
2019,Alabama Power Co,AL,390427815,521505710,130710760
2018,Alabama Power Co,AL,297792419,463329553,145878442
2017,Alabama Power Co,AL,228714064,408890732,129234588
2016,Alabama Power Co,AL,168478225,346170310,136547632
2015,Alabama Power Co,AL,225559913,301021134,79725046
2014,Alabama Power Co,AL,316898944,321366386,78117152
2013,Alabama Power Co,AL,176758705,287329351,76536393
2012,Alabama Power Co,AL,153362827,258338498,92924142
2011,Alabama Power Co,AL,216313521,351345076,53347934
2010,Alabama Power Co,AL,136373665,296011623,71751423
2009,Alabama Power Co,AL,159051998,313134374,60641099
2008,Alabama Power Co,AL,134557031,313713245,56726448
2007,Alabama Power Co,AL,141334126,290603072,83807991
2006,Alabama Power Co,AL,110999847,300956130,41484157
2005,Alabama Power Co,AL,116296668,258050639,29900959
2004,Alabama Power Co,AL,123460741,240587598,40132067
2003,Alabama Power Co,AL,173819932,247277946,24423979
2002,Alabama Power Co,AL,137894068,137322703,28950964
2001,Alabama Power Co,AL,272529233,221840544,18661938
2000,Alabama Power Co,AL,44101950,195243942,37457554
1999,Alabama Power Co,AL,69632658,201581025,40519534
1998,Alabama Power Co,AL,78451506,187880908,40144258
1997,Alabama Power Co,AL,74181767,180935481,30500249
1996,Alabama Power Co,AL,83688177,172393893,57812575
1995,Alabama Power Co,AL,53095902,199078095,30293425
1994,Alabama Power Co,AL,42988564,194861273,58646828
2019,Alaska Electric Light & Power Co,AK,912019,2197332,1866378
2018,Alaska Electric Light & Power Co,AK,1044979,1885589,637022
2017,Alaska Electric Light & Power Co,AK,1227127,1189893,728772
2016,Alaska Electric Light & Power Co,AK,1518482,1324750,1001015
2015,Alaska Electric Light & Power Co,AK,502746,1356777,360427
2014,Alaska Electric Light & Power Co,AK,751979,1848661,512529
2013,Alaska Electric Light & Power Co,AK,638146,1198652,892512
2012,Alaska Electric Light & Power Co,AK,972327,726501,511056
2011,Alaska Electric Light & Power Co,AK,344778,817269,310779
2010,Alaska Electric Light & Power Co,AK,434104,1010456,907277
2009,Alaska Electric Light & Power Co,AK,8793815,659681,392371
2008,Alaska Electric Light & Power Co,AK,399001,1216664,1203572
2007,Alaska Electric Light & Power Co,AK,2120570,873302,2447467
2006,Alaska Electric Light & Power Co,AK,2416793,1357077,634234
2005,Alaska Electric Light & Power Co,AK,357498,934784,281633
2004,Alaska Electric Light & Power Co,AK,200684,905246,882023
2003,Alaska Electric Light & Power Co,AK,290311,871820,697416
